V (V),net9 vs net022 (V)
1.000,0.000
1.000,10.00E-3
1.000,20.00E-3
1.000,30.00E-3
1.000,40.00E-3
1.000,50.00E-3
1.000,60.00E-3
1.000,70.00E-3
1.000,80.00E-3
1.000,90.00E-3
1.000,100.0E-3
1.000,110.0E-3
1.000,120.0E-3
1.000,130.0E-3
1.000,140.0E-3
1.000,150.0E-3
1.000,160.0E-3
1.000,170.0E-3
1.000,180.0E-3
1.000,190.0E-3
1.000,200.0E-3
1.000,210.0E-3
1.000,220.0E-3
999.9E-3,230.0E-3
999.9E-3,240.0E-3
999.9E-3,250.0E-3
999.8E-3,260.0E-3
999.8E-3,270.0E-3
999.7E-3,280.0E-3
999.6E-3,290.0E-3
999.5E-3,300.0E-3
999.3E-3,310.0E-3
999.0E-3,320.0E-3
998.7E-3,330.0E-3
998.2E-3,340.0E-3
997.6E-3,350.0E-3
996.8E-3,360.0E-3
995.8E-3,370.0E-3
994.4E-3,380.0E-3
992.6E-3,390.0E-3
990.3E-3,400.0E-3
987.1E-3,410.0E-3
982.7E-3,420.0E-3
976.8E-3,430.0E-3
968.2E-3,440.0E-3
955.3E-3,450.0E-3
933.1E-3,460.0E-3
880.5E-3,470.0E-3
715.2E-3,480.0E-3
472.7E-3,490.0E-3
257.0E-3,500.0E-3
102.3E-3,510.0E-3
50.92E-3,520.0E-3
33.10E-3,530.0E-3
22.97E-3,540.0E-3
16.38E-3,550.0E-3
11.85E-3,560.0E-3
8.643E-3,570.0E-3
6.333E-3,580.0E-3
4.653E-3,590.0E-3
3.421E-3,600.0E-3
2.516E-3,610.0E-3
1.848E-3,620.0E-3
1.355E-3,630.0E-3
990.9E-6,640.0E-3
722.5E-6,650.0E-3
525.1E-6,660.0E-3
380.1E-6,670.0E-3
274.1E-6,680.0E-3
196.8E-6,690.0E-3
140.8E-6,700.0E-3
100.3E-6,710.0E-3
71.16E-6,720.0E-3
50.32E-6,730.0E-3
35.47E-6,740.0E-3
24.94E-6,750.0E-3
17.49E-6,760.0E-3
12.24E-6,770.0E-3
8.554E-6,780.0E-3
5.974E-6,790.0E-3
4.171E-6,800.0E-3
2.914E-6,810.0E-3
2.039E-6,820.0E-3
1.431E-6,830.0E-3
1.010E-6,840.0E-3
717.4E-9,850.0E-3
515.0E-9,860.0E-3
374.9E-9,870.0E-3
278.1E-9,880.0E-3
211.3E-9,890.0E-3
165.2E-9,900.0E-3
133.5E-9,910.0E-3
111.7E-9,920.0E-3
96.82E-9,930.0E-3
86.73E-9,940.0E-3
79.97E-9,950.0E-3
75.51E-9,960.0E-3
72.68E-9,970.0E-3
70.97E-9,980.0E-3
70.06E-9,990.0E-3
69.67E-9,1.000
70.06E-9,990.0E-3
70.97E-9,980.0E-3
72.68E-9,970.0E-3
75.51E-9,960.0E-3
79.97E-9,950.0E-3
86.73E-9,940.0E-3
96.82E-9,930.0E-3
111.7E-9,920.0E-3
133.5E-9,910.0E-3
165.2E-9,900.0E-3
211.3E-9,890.0E-3
278.1E-9,880.0E-3
374.9E-9,870.0E-3
515.0E-9,860.0E-3
717.4E-9,850.0E-3
1.010E-6,840.0E-3
1.431E-6,830.0E-3
2.039E-6,820.0E-3
2.914E-6,810.0E-3
4.171E-6,800.0E-3
5.974E-6,790.0E-3
8.554E-6,780.0E-3
12.24E-6,770.0E-3
17.49E-6,760.0E-3
24.94E-6,750.0E-3
35.47E-6,740.0E-3
50.32E-6,730.0E-3
71.16E-6,720.0E-3
100.3E-6,710.0E-3
140.8E-6,700.0E-3
196.8E-6,690.0E-3
274.1E-6,680.0E-3
380.1E-6,670.0E-3
525.1E-6,660.0E-3
722.5E-6,650.0E-3
990.9E-6,640.0E-3
1.355E-3,630.0E-3
1.848E-3,620.0E-3
2.516E-3,610.0E-3
3.421E-3,600.0E-3
4.653E-3,590.0E-3
6.333E-3,580.0E-3
8.643E-3,570.0E-3
11.85E-3,560.0E-3
16.38E-3,550.0E-3
22.97E-3,540.0E-3
33.10E-3,530.0E-3
50.92E-3,520.0E-3
102.3E-3,510.0E-3
257.0E-3,500.0E-3
472.7E-3,490.0E-3
715.2E-3,480.0E-3
880.5E-3,470.0E-3
933.1E-3,460.0E-3
955.3E-3,450.0E-3
968.2E-3,440.0E-3
976.8E-3,430.0E-3
982.7E-3,420.0E-3
987.1E-3,410.0E-3
990.3E-3,400.0E-3
992.6E-3,390.0E-3
994.4E-3,380.0E-3
995.8E-3,370.0E-3
996.8E-3,360.0E-3
997.6E-3,350.0E-3
998.2E-3,340.0E-3
998.7E-3,330.0E-3
999.0E-3,320.0E-3
999.3E-3,310.0E-3
999.5E-3,300.0E-3
999.6E-3,290.0E-3
999.7E-3,280.0E-3
999.8E-3,270.0E-3
999.8E-3,260.0E-3
999.9E-3,250.0E-3
999.9E-3,240.0E-3
999.9E-3,230.0E-3
1.000,220.0E-3
1.000,210.0E-3
1.000,200.0E-3
1.000,190.0E-3
1.000,180.0E-3
1.000,170.0E-3
1.000,160.0E-3
1.000,150.0E-3
1.000,140.0E-3
1.000,130.0E-3
1.000,120.0E-3
1.000,110.0E-3
1.000,100.0E-3
1.000,90.00E-3
1.000,80.00E-3
1.000,70.00E-3
1.000,60.00E-3
1.000,50.00E-3
1.000,40.00E-3
1.000,30.00E-3
1.000,20.00E-3
1.000,10.00E-3
1.000,0.000
